City,County,id,DateAdded,Price,Exterior color,Bedrooms,Bathrooms,Floors,waterfront,View,Condition,Grade,Sqft_living,Sqft_lot,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,timedelta,Country,Country-ISO,Full-State,State,lat,long,NeighborhoodName,ZipCode
Geraldine,De Kalb,6848200018,2014-05-28,840000,blue,4,2,2,False,0,3,9,3040,2800,2100,940,1906,2014,4.2269352307291665,USA,USA,Alabama,AL,34.343864,-86.04039300000001,,38016
Moncton,,9358400080,2014-06-27,550000,Null,4,3,2,False,0,3,10,4150,16197,4150,0,2006,0,9.661811544085648,Canada,CAN,,,45.46686,-65.73213,Salt Springs Brook,L7B 4V6
Bart,Lancaster,6840701100,2014-12-02,382000,yelow,4,1,1,False,0,3,7,1740,4400,1740,0,1924,0,7.37264744707176,USA,USA,Pennsylvania,PA,39.923333,-76.076389,,07109
Toronto,,1543000060,2014-06-07,462000,yelow,4,2,2,False,0,3,9,3070,6432,3070,0,2006,0,2.67613726494213,Canada,CAN,,,50.72056,-67.46583000000001,Lac du Passage,J6E 9P1
Toronto,,7853420450,2014-05-19,575000,white,4,2,2,False,0,3,9,2500,4945,2500,0,2013,0,0.7955659416203704,Canada,CAN,,,61.71558,-76.48151,Lac Talluup,K4R 5T3
Berlin,,1223089050,2014-05-06,280000,white,3,1,1,False,0,4,7,1630,11800,1630,0,1971,0,6.416402089699075,Germany,DEU,,,51.49508,7.455589999999999,Best Western Parkhotel Westfalenhallen,44599
Cannon Falls,Goodhue,9208900037,2014-09-19,6885000,pink,6,7,2,False,4,3,13,9890,31374,8860,1030,2001,0,8.735302838449075,USA,USA,Minnesota,MN,44.495985,-92.86399499999999,,38637
Winnipeg,,8827901415,2015-05-07,613000,white,3,1,1,False,0,4,7,1470,4480,1130,340,1918,0,7.585771818136574,Canada,CAN,,,57.29745,-101.98709000000001,Thackeray Island,E5A 1S9
Iron Gate,Alleghany,3824100246,2014-10-21,460000,light blue,4,2,1,False,0,3,8,2200,9676,1500,700,1979,0,6.217559508125,USA,USA,Virginia,VA,37.7975,-79.791389,,08807
Toronto,,6752600050,2014-08-12,320000,white,4,2,2,False,0,3,7,2070,7007,2070,0,1996,0,0.3056742732638889,Canada,CAN,,,46.3168,-79.31631,Milnes Bay,N0H 7C1
Berlin,,8857320030,2014-11-07,515000,blue,3,2,2,False,0,4,9,1810,2738,1810,0,1979,0,-2.249956651770833,Germany,DEU,,,52.50424,13.342570000000002,City Hotel Ansbach,47933
Vancouver,,2481590090,2014-10-27,598555,white,3,2,2,False,0,3,9,3040,7880,3040,0,2004,0,6.087569164328704,Canada,CAN,,,49.61642,-120.8525,Mount Spearing,V9Y 9S2
Berlin,,3277800729,2014-10-16,275000,yelow,3,1,2,False,0,3,7,1170,1174,840,330,2007,0,-2.488001773055556,Germany,DEU,,,53.90745,12.7238,Neu Pannekow,78051
Toronto,,2346800461,2014-06-13,1120000,,5,1,2,False,3,4,8,2540,6660,2340,200,1954,0,-1.499076956145833,Canada,CAN,,,47.06361,-74.52444,Lac Fortin,J0R 6E2
Toronto,,9201000610,2014-06-03,875000,yelow,4,2,1,False,2,5,8,3720,12384,1860,1860,1970,0,0.6875407369560186,Canada,CAN,,,49.03667,-74.17944,Lac de la Piloselle,E7H 8G8
,,1787600224,2015-03-10,390000,light pink,3,2,1,False,0,3,7,1640,6991,1110,530,1967,0,0.4681062735185185,USA,USA,,,33.068056,-83.223611,,60107
Berlin,,3260100330,2014-05-28,600000,white,3,1,1,False,0,3,7,1580,7416,1150,430,1967,0,5.459115564282408,Germany,DEU,,,53.111959999999996,11.27738,Gaarz,57452
Toronto,,7986400265,2014-10-29,770000,light pink,5,3,1,False,2,3,8,2370,6000,1340,1030,1926,2003,1.141983964710648,Canada,CAN,,,49.966840000000005,-74.13245,Rivière Oreille,K7S 2M8
Tarrytown,Westchester,8682260470,2014-06-19,437000,yelow,2,1,1,False,0,3,8,1440,4225,1440,0,2005,0,6.432841249803242,USA,USA,New York,NY,41.078108,-73.859335,,33442
Berlin,,8835220210,2015-04-17,355000,light blue,3,1,2,False,0,4,7,1370,4790,1370,0,1982,0,-0.7482458961574074,Germany,DEU,,,50.88897,7.808610000000001,Niedersolbach,98557
Summerland,Santa Barbara,3253500030,2014-07-25,583000,yelow,4,2,1,False,0,5,8,2200,9453,1100,1100,1955,0,0.4457608446064815,USA,USA,California,CA,34.424541,-119.59601599999999,,11801
Wrightsville Beach,New Hanover,6306400140,2014-06-12,1095000,white,0,0,3,False,2,3,7,3064,4764,3064,0,1990,0,-2.418466221631944,USA,USA,North Carolina,NC,34.212228,-77.79816600000001,,29710
Stevenson,Baltimore,1926059099,2014-12-08,708000,blue,5,3,2,False,0,3,8,3060,11778,3060,0,2004,0,2.655700622152778,USA,USA,Maryland,MD,,,,
Berlin,,9262800002,2014-07-08,232000,light gray,3,1,1,False,0,3,7,1460,15000,1460,0,1966,0,-0.4833965637962963,Germany,DEU,,,50.88402,13.9399,Cottaer Busch,65113
Lumber Bridge,Robeson,3205400140,2014-06-30,385000,yelow,3,1,1,False,0,3,7,1300,7030,1300,0,1968,0,-0.6811544488310186,USA,USA,North Carolina,NC,34.876191999999996,-79.066417,,07047
Little Rock Air Force Base,Pulaski,6713700025,2014-05-15,300000,light pink,3,1,1,False,0,4,7,1220,13000,1220,0,1955,0,6.553050169097222,USA,USA,Arkansas,AR,34.898610999999995,-92.14416700000001,,55021
Altheimer,Jefferson,7691800020,2014-07-09,660000,black,4,2,2,False,0,3,8,2510,4543,2510,0,2002,0,3.0757275188425934,USA,USA,Arkansas,AR,34.306168,-91.828916,,31525
Berlin,,3392100140,2015-01-06,215000,light blue,3,1,1,False,0,3,6,1280,9775,1280,0,1964,0,0.3020106520023148,Germany,DEU,,,47.86845,12.33157,Burgersdorf,11394
Winnipeg,,8643200061,2014-06-26,235000,Null,5,2,1,False,0,3,7,2500,9583,1300,1200,1979,0,3.495196282511573,Canada,CAN,,,49.80002,-93.9837,Hawk Lake,A2A 1K9
Toronto,,8645900080,2014-08-27,427000,light pink,3,2,1,False,0,3,7,1720,128066,1720,0,1994,0,-1.2820795385995372,Canada,CAN,,,49.287890000000004,-68.04613,Anse Saint-Pancrace,J3M 9X6
Harveys Lake,Luzerne,3268000040,2014-06-28,339900,gray,3,1,1,False,0,5,7,1200,9087,1200,0,1969,0,7.739055157361111,USA,USA,Pennsylvania,PA,41.359181,-76.04505999999999,,08046
Berlin,,1545804820,2014-11-11,240000,black,3,1,1,False,0,3,7,1380,7500,1380,0,1988,0,4.463719655694446,Germany,DEU,,,52.72387,9.411010000000001,Schotengraben,33409
Vancouver,,603000926,2014-05-22,380000,gray,5,3,2,False,0,3,7,2420,4670,2420,0,2013,0,8.758165209965277,Canada,CAN,,,49.10665,-125.86797,Long Beach Lodge Resort Standard Room Cb,G9T 1R5
Toronto,,5162100660,2014-08-26,335000,light blue,4,2,2,False,0,3,8,2520,7205,2520,0,1987,0,10.40992776180556,Canada,CAN,,,47.45009,-82.1498,Alcona,E7A 3C4
Berlin,,8805900570,2014-09-11,808000,light gray,4,2,2,False,0,5,8,2190,4104,1410,780,1928,0,-0.257157335775463,Germany,DEU,,,53.295390000000005,8.16467,Unterwerk Hahn,42942
Mount Sterling,Montgomery,6821600005,2015-04-03,710000,black,4,1,1,False,0,4,8,2120,5400,1060,1060,1941,0,2.481261208310185,USA,USA,Kentucky,KY,38.054821999999994,-83.938774,,11735
De Witt,Carroll,2159900060,2015-01-13,451101,light gray,2,1,2,False,0,4,8,1510,1962,1510,0,1985,0,0.510908089375,USA,USA,Missouri,MO,39.358978,-93.301583,,42001
Toronto,,2767604724,2014-10-15,505000,gray,2,2,3,False,0,3,8,1430,1201,1430,0,2009,0,10.33179749074074,Canada,CAN,,,48.4334,-86.23321,Fish Harbour,P9N 3X7
Berlin,,4141400030,2014-12-01,605000,white,4,1,1,False,0,4,8,2250,10108,2250,0,1967,0,10.95269025409722,Germany,DEU,,,50.83333,12.06667,Unterröppisch,16174
Moncton,,7202330170,2014-07-17,438000,black,3,2,2,False,0,3,7,1650,3031,1650,0,2003,0,-0.3992542162731482,Canada,CAN,,,45.950109999999995,-66.88218,Alex Creek,G0B 7N5
Berlin,,9485940330,2014-07-02,339950,light blue,3,2,1,False,0,3,8,2390,34041,1840,550,1984,0,-1.1681620128472219,Germany,DEU,,,48.13128,11.6083,Courtyard Munich City Ost,48860
Winnipeg,,3141600600,2014-05-21,260000,yelow,6,2,1,False,0,3,7,2220,8797,2220,0,1977,0,10.724783535902779,Canada,CAN,,,48.64987,-93.21698,Turtle Island,B4V 3P1
Norris,Mellette,1922059278,2014-10-14,145000,light gray,3,1,1,False,0,3,7,1010,11880,1010,0,1960,0,2.068457299490741,USA,USA,South Dakota,SD,43.466176000000004,-101.151664,,40004
Toronto,,3826500290,2015-04-24,339000,light pink,3,2,1,False,0,4,8,1970,7210,1380,590,1978,0,9.953964148715276,Canada,CAN,,,43.41171,-80.33006,Hilton Garden Inn Kitchenercam,S4H 2N2
Cayuta,Schuyler,6151800486,2014-07-18,260000,light gray,2,1,1,False,0,3,6,1270,19602,1270,0,1977,0,2.556855745601852,USA,USA,New York,NY,42.277445,-76.697367,,28303
Attica,Harper,686300930,2015-03-05,453000,light gray,3,1,1,False,0,3,8,1600,7232,1600,0,1966,0,-0.1280327630208333,USA,USA,Kansas,KS,37.25277,-98.226425,,48195
Berlin,,5379800810,2014-08-07,198000,green,2,1,1,False,0,3,7,790,14200,790,0,1951,0,0.5184177596643519,Germany,DEU,,,53.583659999999995,9.98514,Eppendorfer Baum,33581
Lavelle,Schuylkill,8029650040,2014-05-19,373000,light blue,3,2,2,False,0,3,7,1670,3565,1670,0,1999,0,9.534904225648148,USA,USA,Pennsylvania,PA,40.763333,-76.38305600000001,,20854
Jonesport,Washington,3905000340,2014-07-24,672000,light gray,4,2,2,False,0,4,9,2440,10049,2440,0,1989,0,3.713858508148148,USA,USA,Maine,ME,44.550936,-67.604403,,32746
Kill Buck,Cattaraugus,1023059365,2014-05-06,520000,black,3,2,2,False,0,4,8,2460,54885,2460,0,1980,0,8.533531479537038,USA,USA,New York,NY,42.141005,-78.642604,,92220
Toronto,,7420200050,2014-06-20,623000,light pink,3,2,2,False,0,5,8,1850,7777,1850,0,1989,0,-1.5216798665046298,Canada,CAN,,,48.18083,-73.17860999999999,Lac des Îles,J8G 6E6
Berlin,,985000833,2014-09-10,209977,white,3,1,1,False,0,4,7,1170,6134,1170,0,1948,0,3.7377164911805565,Germany,DEU,,,,,,
Winnipeg,,3558900590,2014-11-25,360000,white,6,1,1,False,0,3,7,2230,10080,1390,840,1969,0,9.76055238449074,Canada,CAN,,,52.03425,-95.48411999999999,Keecheemokoman Island,H9R 1M5
Edmonton,,8651442520,2014-10-15,228950,white,4,3,1,False,0,3,7,2160,5200,1320,840,1978,0,7.394845961273148,Canada,CAN,,,54.03346,-113.1353,Egremont,N0B 2R6
Dolan Springs,Mohave,9357000215,2015-01-27,365000,white,3,1,1,False,0,3,7,1030,4700,1030,0,1952,0,4.529003270185185,USA,USA,Arizona,AZ,35.774789,-114.547771,,02136
Fisher,Clarion,3326059191,2014-06-16,410000,black,4,2,1,False,0,3,7,1580,9581,1580,0,1953,0,7.801568133530092,USA,USA,Pennsylvania,PA,41.266737,-79.247033,,27265
Toronto,,2872100345,2014-05-30,919204,white,4,3,2,False,0,3,9,3760,5000,2860,900,2014,0,9.465529283576391,Canada,CAN,,,46.68059,-73.57514,Lac du Serpent,P3A 9E6
Toronto,,2325300093,2014-07-07,378000,blue,3,2,3,False,0,3,7,1601,2491,1536,65,2007,0,9.231559726736108,Canada,CAN,,,45.93506,-72.1535,Ruisseau Houde,J3L 7B8
Independence,Jackson,6821102350,2015-01-09,323000,light blue,2,1,2,False,0,4,7,880,1712,880,0,1945,0,3.398138770775463,USA,USA,Missouri,MO,39.098288000000004,-94.41107199999999,,16066
Lane,Atoka,7338001190,2014-10-17,215000,blue,3,1,2,False,0,4,6,1280,5065,1280,0,1983,0,6.8863742201388884,USA,USA,Oklahoma,OK,34.269121999999996,-95.968515,,55060
Edmonton,,7011201475,2014-05-27,780000,yelow,3,3,1,False,0,3,8,2520,2152,1560,960,1925,2006,8.799393157905092,Canada,CAN,,,50.51668,-116.23536000000001,Mount Bruce,T9M 8L5
Berlin,,3327000070,2015-04-20,185000,light blue,3,1,1,False,0,3,7,1500,7800,1500,0,1968,0,6.4735411353240755,Germany,DEU,,,48.51458,13.10486,Oberhörbach,92014
Mustoe,Highland,1549500370,2014-05-05,210000,green,3,1,1,False,0,3,5,1340,306848,1340,0,1953,0,10.45041380199074,USA,USA,Virginia,VA,38.286215999999996,-79.659137,,48331
Toronto,,7202340450,2014-11-23,452000,white,3,2,2,False,0,3,7,1690,4000,1690,0,2004,0,3.7205295612152787,Canada,CAN,,,48.37481,-79.4176,Lac Perès,H1W 7L5
Berlin,,4232903265,2014-09-18,614950,gray,3,1,1,False,0,5,7,1500,2400,1500,0,1900,0,10.34014458809028,Germany,DEU,,,,,,
New_York,,546000910,2014-12-03,620000,Null,3,1,1,False,0,4,8,2040,4005,1740,300,1930,0,9.798228155289351,Canada,CAN,,,44.40011,-75.86605,Round Island,E7J 1N6
Toronto,,1001200050,2014-09-23,259000,gray,4,1,1,False,0,5,7,1260,7248,1260,0,1955,0,7.460361492418983,Canada,CAN,,,47.082840000000004,-75.3863,Lac Perdu,J2N 1V3
Toronto,,2597520790,2015-04-23,765000,white,3,2,2,False,0,3,9,2310,11993,2310,0,1988,0,3.977759422835648,Canada,CAN,,,47.34944,-77.69667,Lac des Souris,N4G 5N4
Toronto,,1509700050,2014-05-23,300000,Null,4,2,2,False,0,3,8,1960,9898,1960,0,2001,0,8.459812435474536,Canada,CAN,,,46.03342,-78.39955,Deacon,N3L 8M3
West Nottingham,Rockingham,8681660060,2014-09-29,503000,white,4,2,2,False,0,3,9,2470,5044,2470,0,2005,0,2.237367455162037,USA,USA,New Hampshire,NH,43.133971,-71.111006,,08817
Rapid City,Pennington,3387800380,2014-08-29,215000,light blue,4,1,1,False,0,3,7,1630,8000,1630,0,1959,0,5.142877583275463,USA,USA,South Dakota,SD,44.077040999999994,-103.200259,,95127
Spring,Montgomery,6441800060,2014-12-09,725786,white,4,2,2,False,0,3,10,3070,5762,3070,0,2000,0,2.3295999568287042,USA,USA,Texas,TX,30.137390000000003,-95.468944,,08081
Terry,Hinds,9828201202,2015-03-16,622000,light pink,3,1,1,False,0,4,8,1650,3150,1650,0,1929,0,2.591106371064815,USA,USA,Mississippi,MS,32.114683,-90.324143,,48042
Toronto,,2916200091,2015-03-03,734000,Null,4,2,2,False,0,3,8,2180,7204,2180,0,2014,0,3.454033559247685,Canada,CAN,,,45.49994,-73.56631,Montreal Central Station,N0B 2R6
Berlin,,5418500800,2015-04-29,825000,green,3,2,1,False,0,3,8,2510,10418,1810,700,1968,0,-2.331549424166667,Germany,DEU,,,52.14051,9.42501,Lieth-Berg,85367
Gaylordsville,Litchfield,7527200110,2015-02-18,593700,yelow,3,2,2,False,0,3,8,2000,22000,2000,0,1979,0,2.698941741087963,USA,USA,Connecticut,CT,41.648635,-73.483524,,19406
East Tawas,Iosco,3759500046,2015-05-01,748000,black,3,2,1,False,0,3,8,2600,10183,1300,1300,2004,0,10.068211319224538,USA,USA,Michigan,MI,44.300823,-83.47762900000001,,22191
Berlin,,6150200060,2015-04-01,370037,white,2,1,1,False,0,4,7,1250,9270,1250,0,1948,0,8.598029956064815,Germany,DEU,,,54.01667,13.866670000000001,Flieder Berg,37626
Toronto,,7397300220,2014-05-29,2750000,blue,4,3,2,False,0,3,10,4430,21000,4430,0,1952,2007,0.7831457850578704,Canada,CAN,,,50.90015,-65.51536,Ruisseau Plat,P3A 3M5
Toronto,,5100403636,2015-02-23,400000,yelow,2,1,1,False,0,3,7,700,8120,700,0,1927,0,3.082771146400463,Canada,CAN,,,46.806470000000004,-73.25805,Ruisseau Prudent,H7B 2S4
Vancouver,,8835700010,2015-01-16,919000,light blue,4,2,1,False,4,3,10,3620,17133,2220,1400,1993,0,8.833621391736111,Canada,CAN,,,55.31653000000001,-126.03675,Dust Creek,G0E 9V1
Berlin,,9828200746,2015-05-04,440000,green,2,1,2,False,0,3,8,1120,1024,1120,0,1970,1998,1.100353687789352,Germany,DEU,,,50.842220000000005,7.84422,Gompertsknapp,87457
Toronto,,8822901175,2014-12-29,345000,yelow,3,3,3,False,0,3,8,1320,1161,1320,0,2010,0,3.189107796145833,Canada,CAN,,,43.7017,-79.7425,Comfort Inn Brampton,E4G 9Y1
Dixfield,Oxford,7202260300,2014-07-09,610000,light pink,3,2,2,False,0,3,8,2630,5827,2630,0,2001,0,10.35602025819444,USA,USA,Maine,ME,,,,
Sasakwa,Seminole,2522059112,2014-05-07,248500,white,4,1,1,False,0,5,7,1720,10018,1720,0,1960,0,8.663674705891204,USA,USA,Oklahoma,OK,34.950982,-96.538706,,42240
Santa Ysabel,San Diego,2890100060,2014-08-01,385000,white,4,1,1,False,0,3,7,2040,10726,1380,660,1954,0,0.2994987073842593,USA,USA,California,CA,33.147579,-116.69635,,48185
Fort_Nelson,,7214800190,2015-01-05,490000,gray,4,2,1,False,0,3,8,2110,16200,1630,480,1978,0,2.1481114171412043,Canada,CAN,,,58.466359999999995,-124.51975,Mount Mary Henry,L7J 7H5
Pleasant Plain,Warren,1665400025,2014-10-28,259000,gray,3,1,1,False,0,3,7,1590,7148,1590,0,1952,0,-0.5557958049768519,USA,USA,Ohio,OH,39.288382,-84.09673599999999,,11010
Toronto,,7853220210,2014-09-22,563500,light gray,4,2,2,False,3,3,9,2780,7838,2780,0,2004,0,10.911766761423609,Canada,CAN,,,47.130559999999996,-76.04222,Lac du Pardon,E8T 3H0
,,3630070280,2014-07-10,418000,white,2,2,2,False,0,3,8,1500,3608,1500,0,2005,0,6.95797312769676,Canada,CAN,,,45.49038,-73.9089,Île Bizard,J9P 3R3
,,3223049131,2014-10-30,270000,yelow,4,2,1,False,0,3,7,2490,11650,1390,1100,1990,0,7.103948684270833,USA,USA,,,44.394389000000004,-72.560925,,11104
San Francisco,San Francisco,8856700190,2015-04-23,721000,yelow,3,2,2,False,0,4,8,2040,18360,2040,0,1983,0,1.312039874837963,USA,USA,California,CA,37.775,-122.4183,,31904
Toronto,,5469501850,2014-06-29,402000,yelow,4,2,1,False,0,4,8,2950,15540,2120,830,1974,0,10.573364300868061,Canada,CAN,,,45.39954,-78.98597,Steeple Lake,J0H 9M0
Osco,Henry,323059167,2014-07-23,259000,light blue,2,1,1,False,0,4,5,1210,17389,1210,0,1948,0,3.5249622407638888,USA,USA,Illinois,IL,41.363673999999996,-90.26809300000001,,44012
Regina,,5153900080,2014-07-14,199000,gray,3,1,1,False,0,3,7,1510,9100,1510,0,1966,0,1.157162789907408,Canada,CAN,,,56.98345,-102.68370999999999,Irvine Lake,E3L 4L4
Berlin,,1344300045,2014-05-07,500000,yelow,2,1,1,False,0,4,7,1010,3885,1010,0,1906,1990,-2.633734738148148,Germany,DEU,,,48.69555,13.195839999999999,Kapfham,70540
Petroleum,Wells,585000008,2015-04-13,460000,gray,2,1,1,False,0,5,7,1020,4002,1020,0,1953,0,8.238679105787037,USA,USA,Indiana,IN,40.611389,-85.15083299999999,,75080
Varnell,Catoosa,4441300440,2014-05-12,582000,white,4,1,1,False,1,3,7,2120,4650,1190,930,1951,0,-0.07785606386574072,USA,USA,Georgia,GA,34.901111,-84.973889,,02703
Crum Lynne,Delaware,3425059222,2014-11-24,1300000,gray,6,3,2,False,0,3,10,6563,32670,5153,1410,2002,0,8.44610073087963,USA,USA,Pennsylvania,PA,39.868457,-75.337397,,80003
Vancouver,,2492201005,2014-07-08,325000,light pink,2,1,1,False,0,4,6,810,4080,810,0,1941,0,-2.492994879178241,Canada,CAN,,,59.666109999999996,-133.80357,Eight Mile Point,T9A 3Y9
Berlin,,7889000160,2015-03-17,222000,light blue,3,1,1,False,0,4,7,990,7520,990,0,1958,0,2.5647357398032407,Germany,DEU,,,52.53199,7.48387,Espel,32605
Berlin,,8835200160,2014-10-10,325000,white,2,2,1,False,0,3,7,970,5000,970,0,1983,0,3.4472663223842583,Germany,DEU,,,50.802459999999996,8.64909,Niederhof,28117
Dawson_Creek,,2767600920,2014-10-27,465000,Null,2,1,1,False,0,4,6,730,2600,730,0,1918,0,10.167309804675929,Canada,CAN,,,55.424440000000004,-122.40972,Otto Lake,G0S 3A7
Oyens,Plymouth,3185600055,2014-06-11,495000,light blue,6,5,2,False,0,3,8,3440,4500,3280,160,2007,0,-1.6531048826041668,USA,USA,Iowa,IA,42.820278,-96.0575,,22101
Berlin,,4058801325,2014-05-22,319950,light pink,2,1,1,False,2,5,7,1070,5824,1070,0,1949,0,8.119119754386574,Germany,DEU,,,51.30088,7.25185,Nächstebreck,96982
Vancouver,,3336000230,2015-03-23,230005,black,2,1,1,False,0,2,7,1030,6000,830,200,1951,0,3.7094999338078702,Canada,CAN,,,51.78322,-118.68567,Horne Creek,B1T 3K2
Vancouver,,984220290,2015-02-10,345000,white,3,1,1,False,0,4,7,1860,7191,1260,600,1975,0,8.103958115532407,Canada,CAN,,,51.17778,-120.86083,Enright Lake,R5H 1Y7
Kersey,Weld,7202331500,2014-08-29,673200,white,5,3,2,False,0,3,7,4180,8561,4180,0,2003,0,5.2786973498842595,USA,USA,Colorado,CO,40.396305,-104.528768,,02852
Clio,Wayne,1853000400,2015-03-05,680000,light blue,4,2,2,False,0,4,10,3140,28037,3140,0,1991,0,4.981200451516203,USA,USA,Iowa,IA,40.680261,-93.48644300000001,,03820
Toronto,,239000155,2015-01-05,707000,Null,5,4,2,False,0,4,8,3540,21217,2940,600,1926,0,-2.347447977256945,Canada,CAN,,,47.069720000000004,-76.8975,Lac de la Saisie,E6A 9Y6
Moncton,,9834201367,2015-01-26,429000,gray,3,2,3,False,0,3,8,1490,1126,1490,0,2014,0,6.294789962546296,Canada,CAN,,,45.533429999999996,-67.11559,Little Bear Brook,E6K 5V0
Vado,Dona Ana,3530490031,2014-09-24,202200,light pink,2,1,1,False,0,4,8,1330,2159,1330,0,1979,0,1.9891782074305557,USA,USA,New Mexico,NM,32.115,-106.66333300000001,,80123
Berlin,,9133600135,2015-02-11,160000,black,4,2,1,False,0,3,7,1800,14722,1440,360,1962,0,-1.5283848621643519,Germany,DEU,,,47.49445,11.093869999999999,Garmischer Hof,65765
Berlin,,1370800560,2014-10-13,979700,yelow,4,2,2,False,2,3,10,2480,6000,2380,100,1929,0,5.743123414895834,Germany,DEU,,,,,,
Toronto,,3629921120,2014-10-03,765000,Null,4,2,2,False,2,3,9,2660,5043,2660,0,2003,0,0.4991117483101852,Canada,CAN,,,44.87571,-79.80526,Joe's Rock,E7H 2N3
Winnipeg,,7955080300,2014-07-14,269950,yelow,3,2,1,False,0,3,7,1520,8720,1080,440,1981,0,10.16476590456018,Canada,CAN,,,48.916579999999996,-93.61701,Loonhaunt River,J0T 1B8
Edmonton,,2260000210,2015-02-09,565000,light pink,3,1,1,False,0,3,8,2380,10450,1400,980,1977,0,4.517296104212964,Canada,CAN,,,52.63332,-118.13566000000002,Campus Pass,A1V 9T8
Carson,Taos,1864940180,2014-06-05,335000,white,4,2,2,False,0,3,8,2610,4781,2610,0,2009,0,9.86148474960648,USA,USA,New Mexico,NM,36.364444,-105.76472199999999,,11793
Vancouver,,7525050150,2014-06-13,475000,gray,3,2,1,False,0,3,7,1580,12177,1200,380,1981,0,2.3941502605092593,Canada,CAN,,,52.341190000000005,-126.97882,Green Bay,E4H 7J4
Vancouver,,3057000070,2014-10-27,289000,white,2,1,2,False,0,3,7,1160,2158,1160,0,1982,0,-1.515347855578704,Canada,CAN,,,52.13321,-120.18585,Falls Creek,K6T 4L0
Regina,,9382200025,2015-01-15,220000,white,3,1,1,False,0,3,6,1090,6320,890,200,1954,0,6.11442320107639,Canada,CAN,,,59.43388,-108.15183,Bryer Island,K7V 7L3
Shirley Basin,Carbon,2436700315,2014-10-14,441500,yelow,2,1,1,False,0,5,7,1010,4000,1010,0,1919,0,7.746481341400464,USA,USA,Wyoming,WY,42.222778000000005,-106.52194399999999,,48021
Berlin,,1683400165,2015-04-30,853800,light pink,7,4,2,False,0,3,9,2960,2665,1950,1010,1927,2013,-0.7298567963657407,Germany,DEU,,,49.68333,7.13333,Rinzenberg,62857
Chester,Chesterfield,7550801206,2014-09-04,624000,light blue,4,3,1,False,0,5,7,1540,4140,1540,0,1902,0,6.491990209039353,USA,USA,Virginia,VA,37.342934,-77.41557,,23860
Franklin,Hancock,3797001815,2015-02-17,532500,white,2,1,1,False,0,4,7,820,3000,820,0,1924,0,0.4838499305555555,USA,USA,Maine,ME,44.608734000000005,-68.241653,,11553
Ehrenberg,La Paz,2296500131,2014-12-16,739000,light gray,5,4,2,False,2,4,9,4660,9900,2600,2060,1979,0,-0.7530827429282407,USA,USA,Arizona,AZ,33.604167,-114.52444399999999,,22015
Toronto,,9268851630,2014-06-04,520000,white,3,3,2,False,0,3,8,1540,1487,1540,0,2011,0,4.696434269027779,Canada,CAN,,,54.8175,-76.67667,Lac Kachinwaschikan,H1V 0V0
Toronto,,3210700380,2014-09-16,640000,gray,4,2,1,False,0,4,8,2100,11894,1720,380,1968,0,4.777543429247684,Canada,CAN,,,45.32728,-71.82517,Booth's Beach,E4S 8N9
Berlin,,7695470200,2014-12-08,600000,blue,3,2,2,False,0,3,9,2680,43995,2680,0,1986,0,-0.4584077989236111,Germany,DEU,,,52.7849,13.10177,Döringsbrück,35897
Check,Floyd,2129700320,2015-05-05,250000,white,1,0,1,False,0,3,6,940,87120,940,0,1944,0,-2.5544395849652783,USA,USA,Virginia,VA,37.032641999999996,-80.236747,,20155
Capon Springs,Hampshire,1714900060,2015-04-24,442000,gray,5,3,1,False,0,4,7,2560,5445,1760,800,1927,0,1.707964592592593,USA,USA,West Virginia,WV,39.136111,-78.48472199999999,,07052
Berlin,,6884800262,2014-09-20,535000,light gray,4,2,1,False,0,5,8,1970,3515,1030,940,1969,0,3.853013833726852,Germany,DEU,,,47.76293,12.76239,Würau,35301
Berlin,,9542000340,2014-08-07,500000,white,3,1,1,False,0,3,8,1560,16194,1560,0,1961,0,-2.469895895787037,Germany,DEU,,,49.4125,8.712660000000001,Palais Boisserée,34386
Toronto,,1785400210,2015-01-29,524000,white,4,2,2,False,0,3,8,2190,15491,2190,0,1981,0,8.468320673935185,Canada,CAN,,,50.541109999999996,-63.32722,Lac Hélène,L7B 9L1
Toronto,,3438501452,2014-05-20,329000,light blue,4,2,1,False,0,3,7,1600,6765,830,770,1947,2011,-0.5269054666087963,Canada,CAN,,,49.10009,-66.66552,Anse de Cap-Chat,B1H 3H6
Berlin,,263000325,2014-06-11,349000,white,3,2,3,False,0,3,8,1430,1002,1430,0,2002,0,-2.509221419398148,Germany,DEU,,,49.19461,11.49427,Döllwang,60421
Berlin,,2767704756,2014-10-20,470000,light pink,3,3,2,False,0,3,8,1280,1257,1040,240,2000,0,-1.4039270657986107,Germany,DEU,,,48.31667,9.66667,Rappenstein,83181
Winnipeg,,7852110740,2014-11-12,645500,Null,4,2,2,False,0,3,9,2990,8622,2990,0,2000,0,-2.222873413831019,Canada,CAN,,,49.17392,-99.69444,Killarney Dam,E4M 0K0
Berlin,,204000140,2015-04-03,403000,Null,3,1,1,False,0,3,7,1500,10730,1000,500,1977,0,2.783349963460648,Germany,DEU,,,51.29197,8.03779,Endorf,92556
Berlin,,2877102196,2014-11-25,750000,light gray,4,2,2,False,0,5,7,2640,3750,1840,800,1911,0,-0.09737897549768518,Germany,DEU,,,50.77384,6.90982,Mertener Heide,99738
